(Click me, if I am too big copy and paste me into a spreadsheet or text editor)
		OBJECT NAME	LIGHTMAP INDEX	STATIC	OVERLAPPING SUBMESHES	OUT-OF-BOUNDS UVs	NUM MATS	MATERIAL	WARNINGS
	Particles/Alpha Blended (88 verts): 
		Cylinder (88 verts)	-1	False	False	False	1	[MatTeleportBeam (UnityEngine.Material)] 	
	Standard (57240 verts): 
		Model (1756 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Door (1234 verts)	-1	False	False	False	1	[MatRoom (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (1075 verts)	-1	False	False	False	1	[MatLadRobot (UnityEngine.Material)] 	
		Model (202 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (2029 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (823 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		ErrorIcon (832 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (3162 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		Model (1398 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
		UseIcon (3596 verts)	-1	False	False	False	1	[MatDefaultVoxel (UnityEngine.Material)] 	
